JobTile,Company,Location,PostDate,ExtractDate,Summary,Salary,JobURL
Data Scientist,FORM,"Vancouver, BC",3 days ago,09/01/2021,"This includes conducting field trials to gather data, and organizing, analyzing, and drawing meaningful conclusions from collected data.",,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFra9SaKlkDuvQKsyprre9PAZffN_jrc31lsXXcWnPpcSuDlwABIZtQM778_ABA8I4dGXOwMCShz1aP8V4U-ezpgj-LAp9xsevwkbvUsZrer6LlWE-tVXUPxZlpz62cZlH2jmZSxldwMMYTEpQ48CnNDJ-uSqrB_V6KgGyuDzqcNLtx461nJO38YrjsdTf7Xsk0vJWaccAIh-HLPblF3nDRXx7nwmslYHtAYMoWMlAN-JJZGziC2olHNbUJz06FOrfaTA4A9b1KNEOjZ9wXbRtLBTdOkWbwMZM39z6Flu6WbL5dSav-ghLR7-fVea6707O-8eDdZYAklgTPwCSe7pVVz1b7J8tE7WI91stcTLLQQ4ICt-co8qcCuLWjBnW9xD5LSRbA9_L2wX8A94X8wOpMfNM-sR6rkstqxcAVhaEQ7C0k1WUXQxHPAKsw3PETeXf7LTo-iJPuQ==&p=0&fvj=1&vjs=3
Staff Data Scientist,realtor.com,"Vancouver, BC",22 days ago,09/01/2021,"Knowledgeable of core CS concepts such as: structured and unstructured data, data management and querying, common data structures and algorithms.",,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2hjH3vMbZtbZ8_9tWsjBH7QaRAfZSJPKJqY43Jwzx1gTUcuFWCJTYV-9OSXmxq83R7ckP-bXEwe24-SIJ1Bdn4ZZWZ9_GekbOfrb02qJICkPBy_oXDOyC_PjbreMkbqBeT_hDmDRUhUAWJvTnh1ZgXmxkA_Io0cHhvPxH3jLK4bX9vGjWzs6hU2f5GQiYF63L1HtoYyGpJGgJ4j7Lbg42nUDoQMYIJNr7oX8Wt0rjBHPLmkUtWFX3GjsKPm6uPAIpcaRdxzF6M70QbWf_CTRkg9vbrnVREC8DrdGFoxFEv1tjdS_XiSWkbIxlD6fvRDDsf-TseeAq0TyCnrS1U8ombALxhQxVnIiEh1nDEa8ti2FAXNuES2iDB0wf8WR9CXsSIXifRqiXYQpfpV5OfdEg-cMlq3BV10xEqSDxm0loNhqd3NnpgY-gIPiWUYWkwVm7T6ww8mChCEwFB8U4LjmrG8I1_6YauAYnoE_dys00uqa0O3tppZXmemic9G-sUpo=&p=1&fvj=0&vjs=3
Data Scientist Co-op or Intern,Visier Inc.,"Vancouver, BC",1 day ago,09/01/2021,"We offer competitive salary and benefit options, Scala certification, bootcamps, lunch and learns, personal development subsidies, in-house gym facilities …",,https://ca.indeed.com/rc/clk?jk=f14c1e949079f0d6&fccid=bcfb39af889db96e&vjs=3
Data Scientist Analytics,TransLink,"Metro Vancouver Regional District, BC",1 day ago,09/01/2021,"Analyses extremely large, complex structured or unstructured data sets; merges large data sets as required to create new data sets or to generate insight from…","$68,564 a year",https://ca.indeed.com/company/TransLink/jobs/Data-Scientist-Analytic-9f28f5cb41c3b09a?fccid=966bd00de3e8ab9d&vjs=3
Data Analyst,International Financial Group,"Vancouver, BC",30+ days ago,09/01/2021,"The Data Analyst will work alongside data engineers to obtain data, monitor data quality, and perform ETL for dashboarding and analysis.",,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aji6ATb26Yyb09g5imj6JxAacRjLEDyoHO-vrhJmHqVUoHrBHvjf13V9v4P7h0GX3is-A9-pQeYwhSDk8_f1aTU9iAdOeWKNrAXBwB5TPTvDFlvDXqnMYC9iIZEmWxl4epD0qIfNkn_uHjislr_OQFJ-C5hVINbatjB1JEWaW_KXyOrlmHt6aP3AqgIx-DPQC91L8V-S07LKDVH8YsLa7SNLsPm4il0C6zCFZMMf-x650C2cCgCFjXrHPBVqD1dA-CTgaq-l4aYjP_MxZ7PmFmxu4eDvq6RFKaSylXtLvwhQ-k7RNc_L8PAJxvOgriehvouAlZdBZjlOzrgfyUjIrVlaa0CsKbtmZ-ZFR6waZypH_8ZOi_ljxtohd9BP7J-lm3oMjGa_ctktpdEWL_P-z1ZFeUFrQWYPaXa4V7iTUAGps5XadF224oJj3E5um0MMsHgn_w6_lp_A==&p=4&fvj=0&vjs=3
Data Analyst/Financial Analyst,Sunnyfuture Group,"Vancouver, BC",26 days ago,09/01/2021,"Technical expertise regarding data models, database design development, data mining and segmentation techniques.
Customer interface and communication skills.","$60,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DN4wB7fGLCbmuhu3zw8R1bV5ewFgVlK-RJX5HE14BWjfHp9t8BmL5nkWWqRsdm7fVHVwibOF6MPM2mVrQuu0U0JCWUBm2WZD6qJLB_ZPl0Qbg_l9kjuHxen8jLi4PGlCm-H1Mdj47uY4yabAEE4xQLejU81QbUIQx5QBtTd_R5e1f6SwHGEtfmAN__jPwDvHhhKhddE3GL0k3dawt2TiTfJlVUSs3G1sTMC8FKYCRB6fbmOZ3c3CyPxjKNPhq77pz0hBTkY8X0BUk6J_kLWsEiu9orFRn2YFF_6WsGudwImTF_nsrjhsGvB8lE5gGH7YU8l3zssoH2wXbEaAHwuTfYROtrYE_YpMQWdma9skHJUFdFniJzXTHtCnHpMuDnSWbGCov6n9854N7Z9MRDS2sxDxy_yTrOt1uTOqDZ6qco7Ct3gbBF9BpZLwRGELuUFdqlp2vzXhddkI5x8XJ2xMrjZGjx9tA3p1-tYeTy3c1N3WkWBmgfqezX&p=5&fvj=1&vjs=3
Data Scientist,Neon,"Vancouver, BC",1 day ago,09/01/2021,You have 2+ years of experience as a data scientist with a proven ability to apply scientific methods to solve real-world problems.,,https://ca.indeed.com/rc/clk?jk=4512a77cad4a7b66&fccid=70dcb313de6ce890&vjs=3
Senior Data Scientist,Microsoft,"Vancouver, BC",Today,09/01/2021,"Develop analytical data sets which can be used to for analytics and data science.
Experience building large scale data sets in Azure, Hadoop or similar big data…",,https://ca.indeed.com/rc/clk?jk=65d78abc3703d584&fccid=734cb5a01ee60f80&vjs=3
Machine Learning Engineer (Wireless),Bluvec Technoligies Inc.,"Burnaby, BC",9 days ago,09/01/2021,"With core designers from Microsoft, Viavi, Fortinet and Dali wireless etc., we focus on designing IOT security products which provide detection, localization,…","$70,000 - $120,000 a year",https://ca.indeed.com/company/bluvec/jobs/Machine-Learning-Engineer-967221eb73dbd4e0?fccid=9101a4e8236e4d23&vjs=3
Data Scientist - Bus Priority Programs,TransLink,"Metro Vancouver Regional District, BC",1 day ago,09/01/2021,"Analyses extremely large, complex structured or unstructured data sets; merges large data sets as required to create new data sets or to generate insight from…","$68,564 a year",https://ca.indeed.com/company/TransLink/jobs/Data-Scientist-197bb8abb15b8c53?fccid=966bd00de3e8ab9d&vjs=3
Data Scientist,Fantuan Technology Ltd,"Burnaby, BC",30+ days ago,09/01/2021,"Data analysis: 2 years (Required).
Have 2+ years of working experience in a data analysis or similar role.
Interpret, evaluate, and interrelate research data…",,https://ca.indeed.com/company/Just-Order-Enterprise-Corp./jobs/Data-Scientist-3e739a6aa84f5505?fccid=d8ddff9f4870d4dd&vjs=3
Data Scientist,Imperva,"Vancouver, BC",3 days ago,09/01/2021,"Aggregate data and split graphs as required.
We prefer candidates that have experience creating complex data visualization tools but are also open to new…",,https://ca.indeed.com/rc/clk?jk=153d9b53459fc59f&fccid=a83aa9033316475b&vjs=3
Temporary Clinical Data Scientist - Remote Position,MAPS PBC,"Vancouver, BC",30+ days ago,09/01/2021,"Reviews data transfers for ongoing trials to identify study conduct or data quality issues.
Analyzes data in SAS, creates graphs and tables for regulatory…",,https://ca.indeed.com/rc/clk?jk=6d0fa9975344bcd9&fccid=b8abf451ecb1b1ca&vjs=3
Machine Learning Applied Scientist / Engineer,Microsoft,"Vancouver, BC",2 days ago,09/01/2021,We develop technologies and do applied research and development to enable better customer experiences for real-time collaboration.,,https://ca.indeed.com/rc/clk?jk=12f7d2060e75adfc&fccid=734cb5a01ee60f80&vjs=3
Intermediate Data Analyst,Unbounce,"Vancouver, BC",30+ days ago,09/01/2021,"You’re familiar with 3rd party tooling and data integrations, and at monitoring/maintaining data integrity across multiple systems.",,https://ca.indeed.com/rc/clk?jk=39799f04a40d01a3&fccid=7b7909227bb8e2af&vjs=3
Senior Machine Learning Scientist,Microsoft,"Vancouver, BC",3 days ago,09/01/2021,We develop fundamental technologies and do applied research and development to enable better customer experiences for real-time collaboration.,,https://ca.indeed.com/rc/clk?jk=5bd014de40a3ab70&fccid=734cb5a01ee60f80&vjs=3
Product Manager Data & Analytics,iQmetrix,"Vancouver, BC",Today,09/01/2021,"This role will also work closely with the PM on the architecture and data science team (Neuro).
You will help build and develop the Data & Analytics Reporting…",,https://ca.indeed.com/rc/clk?jk=1166a6d201932af9&fccid=cbd933209a1c4370&vjs=3
Machine Learning Engineer (Wireless),Bluvec Technoligies Inc.,"Burnaby, BC",9 days ago,09/01/2021,"With core designers from Microsoft, Viavi, Fortinet and Dali wireless etc., we focus on designing IOT security products which provide detection, localization,…","$70,000 - $120,000 a year",https://ca.indeed.com/company/bluvec/jobs/Machine-Learning-Engineer-967221eb73dbd4e0?fccid=9101a4e8236e4d23&vjs=3
Machine Learning Scientist - Computer Vision,AbCellera Biologics,"Vancouver, BC",18 days ago,09/01/2021,"Experience dealing with big data.
Optimize machine learning and data science pipelines with a focus on scalability.
A minimum of 3 weeks’ vacation.",,https://ca.indeed.com/rc/clk?jk=18f959d3cbf0deff&fccid=6161745df4a18957&vjs=3
Data Scientist - RACE21,Teck Resources Limited,"Vancouver, BC",30+ days ago,09/01/2021,"Familiar with data modeling and different data structures and algorithms.
Ensures all automated processes preserve data by managing the alignment of data…",,https://ca.indeed.com/rc/clk?jk=f63bb7155c426fdb&fccid=33dfaa8965cf2bf4&vjs=3
Data Scientist - Bus Priority Programs,TransLink,"Metro Vancouver Regional District, BC",1 day ago,09/01/2021,"Analyses extremely large, complex structured or unstructured data sets; merges large data sets as required to create new data sets or to generate insight from…","$68,564 a year",https://ca.indeed.com/company/TransLink/jobs/Data-Scientist-197bb8abb15b8c53?fccid=966bd00de3e8ab9d&vjs=3
Machine Learning Engineer Co-Op,Electronic Arts,"Vancouver, BC",3 days ago,09/01/2021,Understands how data is stored in databases and can write fast and reusable SQL and NOSQL code to retrieve it.,,https://ca.indeed.com/rc/clk?jk=e6a687f1ec940e04&fccid=617d7f961cfcf54a&vjs=3
Data Scientist,Fantuan Technology Ltd,"Burnaby, BC",30+ days ago,09/01/2021,"Data analysis: 2 years (Required).
Have 2+ years of working experience in a data analysis or similar role.
Interpret, evaluate, and interrelate research data…",,https://ca.indeed.com/company/Just-Order-Enterprise-Corp./jobs/Data-Scientist-3e739a6aa84f5505?fccid=d8ddff9f4870d4dd&vjs=3
Data Scientist,Kabam,"Vancouver, BC",30+ days ago,09/01/2021,"2+ years of industry experience translating data into actionable company insights.
Build Machine Learning Algorithms for data products to be implemented in-game…",,https://ca.indeed.com/rc/clk?jk=f6d128507d45e87a&fccid=fde47f06a6b44d5e&vjs=3
Senior Data Analyst/Engineer,Microsoft,"Vancouver, BC",Today,09/01/2021,"As an embedded data analyst/engineer, you will partner with data scientists and product teams, to build full stack data science solutions using data from some…",,https://ca.indeed.com/rc/clk?jk=ddc0f02f4c1cd2b9&fccid=734cb5a01ee60f80&vjs=3
"Data Engineer & Scientist, Digital Services",Stantec,"Vancouver, BC",30+ days ago,09/01/2021,"Experience in an ML engineer or data scientist role building ML models.
Experience handling terabyte size datasets, diving into data to discover hidden patterns…",,https://ca.indeed.com/rc/clk?jk=a1793b505f155f83&fccid=f1582c464db8553b&vjs=3
Sr. Data Scientist,"AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC",4 days ago,09/01/2021,"Ability to clean, transform, and merge your own data in a procedural language like Python or R.
This is a unique, high visibility opportunity for someone who…",,https://ca.indeed.com/rc/clk?jk=67c16687ea370648&fccid=fe2d21eef233e94a&vjs=3
Temporary Clinical Data Scientist - Remote Position,MAPS PBC,"Vancouver, BC",30+ days ago,09/01/2021,"Reviews data transfers for ongoing trials to identify study conduct or data quality issues.
Analyzes data in SAS, creates graphs and tables for regulatory…",,https://ca.indeed.com/rc/clk?jk=6d0fa9975344bcd9&fccid=b8abf451ecb1b1ca&vjs=3
Intermediate Data Analyst,Unbounce,"Vancouver, BC",30+ days ago,09/01/2021,"You’re familiar with 3rd party tooling and data integrations, and at monitoring/maintaining data integrity across multiple systems.",,https://ca.indeed.com/rc/clk?jk=39799f04a40d01a3&fccid=7b7909227bb8e2af&vjs=3
